uid,DV TCE summary report,Full DV report,DV mini-report
261136679-1-S1-1,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0001-0000000261136679-01-00106_dvs.pdf,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0001-0000000261136679-00106_dvr.pdf,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0001-0000000261136679-00106_dvm.pdf
261136679-1-S1-1,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0001-0000000261136679-01-00366_dvs.pdf,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0001-0000000261136679-00366_dvr.pdf,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0001-0000000261136679-00366_dvm.pdf
