example_i_tfrec,shard,uid,target_id,tce_plnt_num,sector_run
0,shard-00000-of-00001-node-3,167526485-1-S6,167526485,1,6
0,shard-00000-of-00001-node-2,167526485-1-S6,167526485,1,6
