file_id,panopticon_event_score,panopticon_flag
1003,0.9073663353919983,True
1359,0.9996160268783569,True
713,0.6159215569496155,False
316,0.4343453049659729,False
1301,0.6670107841491699,False
345,0.7163755297660828,False
442,0.39336007833480835,False
787,0.9999510049819946,True
332,0.3766776919364929,False
1131,0.24496082961559296,False
519,0.5822256207466125,False
189,0.3562144339084625,False
1092,0.9999655485153198,True
1388,0.9999649524688721,True
958,0.9998519420623779,True
432,0.7720407247543335,False
1037,0.9999438524246216,True
286,0.3692883253097534,False
817,0.9999988079071045,True
1179,0.9728693962097168,True
1366,0.9835466146469116,True
988,0.9995566010475159,True
421,0.49742504954338074,False
1050,0.9998264908790588,True
1369,0.9998987913131714,True
1293,0.9982799291610718,True
678,0.4893244206905365,False
839,0.9989942908287048,True
913,0.9989399313926697,True
1322,0.9819375276565552,True
216,0.4038049578666687,False
509,0.5078102350234985,False
992,0.9980143308639526,True
356,0.36586707830429077,False
1338,0.5595793724060059,False
937,0.9995599389076233,True
921,0.9975134134292603,True
1045,0.9998879432678223,True
1265,0.9136255383491516,True
1477,0.9956894516944885,True
685,0.29981836676597595,False
571,0.5085357427597046,False
211,0.2649488151073456,False
1072,0.9979363679885864,True
352,0.2963722050189972,False
1419,0.9850860834121704,True
530,0.6280463337898254,False
407,0.5668802857398987,False
1413,0.9606764912605286,True
1180,0.792766809463501,False
288,0.7400453090667725,False
1384,0.992194652557373,True
1185,0.9998874664306641,True
1048,0.9999895095825195,True
1005,0.9886476397514343,True
462,0.26041996479034424,False
178,0.3817130923271179,False
693,0.33957380056381226,False
1060,0.9978147745132446,True
121,0.452170729637146,False
939,1.0,True
148,0.4804731011390686,False
828,0.999998927116394,True
1007,0.999942421913147,True
1481,0.9963686466217041,True
1409,0.9993777275085449,True
164,0.3119634985923767,False
128,0.3513041138648987,False
1104,0.9998947381973267,True
555,0.46905311942100525,False
959,0.9943406581878662,True
152,0.34876617789268494,False
1105,0.9987807869911194,True
441,0.5247077345848083,False
948,0.900784969329834,True
1373,0.9938644766807556,True
902,0.9842632412910461,True
951,0.9995203018188477,True
1246,0.9999113082885742,True
317,0.2558145225048065,False
159,0.5876689553260803,False
975,0.9998916387557983,True
1063,0.9995357990264893,True
1079,0.9999510049819946,True
463,0.5514771342277527,False
204,0.28546175360679626,False
264,0.3079032897949219,False
910,0.999948263168335,True
1023,0.9995044469833374,True
157,0.4186115860939026,False
1054,0.9994650483131409,True
872,0.9998379945755005,True
1188,0.9990620017051697,True
633,0.6408917903900146,False
1002,0.9998584985733032,True
251,0.4609549343585968,False
1386,0.9932076334953308,True
105,0.2864472270011902,False
64,0.28231698274612427,False
134,0.2404278665781021,False
1445,0.6000452637672424,False
537,0.2730708718299866,False
738,0.6704912185668945,False
195,0.4298180341720581,False
293,0.5561176538467407,False
399,0.4728759825229645,False
130,0.33678552508354187,False
1435,0.7757822275161743,False
708,0.33160775899887085,False
147,0.43818309903144836,False
1153,0.366524338722229,False
966,0.9995892643928528,True
1349,0.9018495678901672,True
860,0.9999315738677979,True
1247,0.9993707537651062,True
587,0.24075518548488617,False
1238,0.9988943934440613,True
156,0.7033407092094421,False
139,0.5415545105934143,False
474,0.8402383923530579,False
1071,0.9992873072624207,True
531,0.7834395170211792,False
609,0.28779104351997375,False
1466,0.721828043460846,False
1354,0.9218380451202393,True
1462,0.9939709901809692,True
1414,0.6381988525390625,False
732,0.4600974917411804,False
335,0.44927310943603516,False
1094,0.987208902835846,True
557,0.3201511800289154,False
1368,0.9997170567512512,True
1178,0.998749852180481,True
700,0.29914864897727966,False
1489,0.9743276238441467,True
240,0.4641740322113037,False
707,0.32214632630348206,False
1017,0.9931057095527649,True
654,0.57049161195755,False
1217,0.985110878944397,True
89,0.7244833111763,False
5,0.6574080586433411,False
464,0.30616411566734314,False
375,0.419369101524353,False
1162,0.9997119307518005,True
1127,0.9996634721755981,True
991,0.9989118576049805,True
341,0.3797388970851898,False
617,0.6229708194732666,False
1245,0.5982396602630615,False
268,0.26990950107574463,False
366,0.3963853120803833,False
425,0.6116855144500732,False
1150,0.9999567270278931,True
1399,0.9957958459854126,True
534,0.6841970682144165,False
648,0.39091312885284424,False
1320,0.9798635840415955,True
1287,0.9920585751533508,True
37,0.5504381656646729,False
788,0.9999426603317261,True
1311,0.33636364340782166,False
851,0.9999518394470215,True
259,0.5529155731201172,False
1226,0.29111650586128235,False
1171,0.9992478489875793,True
804,0.9993693232536316,True
1378,0.997930645942688,True
583,0.44950950145721436,False
24,0.2937970459461212,False
510,0.2899703085422516,False
783,1.0,True
1288,0.9999758005142212,True
1184,0.9803999662399292,True
858,0.9958468079566956,True
446,0.35480037331581116,False
389,0.6710402965545654,False
346,0.3251323401927948,False
1376,0.9972261786460876,True
619,0.586460292339325,False
580,0.5884149074554443,False
904,0.9988653659820557,True
387,0.4952673017978668,False
219,0.390036940574646,False
263,0.4894818067550659,False
215,0.6846609711647034,False
273,0.7539488673210144,False
0,0.46147775650024414,False
28,0.7036147117614746,False
1183,0.5836343169212341,False
1084,0.999783456325531,True
1107,0.9998584985733032,True
111,0.39438891410827637,False
606,0.5594097971916199,False
166,0.9369727969169617,True
650,0.7752543091773987,False
12,0.5044257044792175,False
1457,0.9952072501182556,True
526,0.4390368163585663,False
1114,0.9999926090240479,True
1026,0.9993185997009277,True
160,0.28496336936950684,False
831,0.9998931884765625,True
319,0.27151793241500854,False
254,0.6642767786979675,False
373,0.4538704454898834,False
1049,0.9999122619628906,True
689,0.4322412610054016,False
397,0.6083533763885498,False
1146,0.687978208065033,False
1177,0.9987340569496155,True
649,0.39501267671585083,False
1428,0.7125380635261536,False
885,0.9997671246528625,True
1218,0.9842198491096497,True
823,0.9972928166389465,True
1228,0.999231219291687,True
1014,0.9998493194580078,True
1439,0.9955098628997803,True
1219,0.42211055755615234,False
124,0.5016515851020813,False
1241,0.999816358089447,True
1201,0.5071755051612854,False
75,0.344114750623703,False
717,0.35936689376831055,False
1469,0.9989423155784607,True
1115,0.9998674392700195,True
1221,0.9878022074699402,True
485,0.39625024795532227,False
876,0.9998811483383179,True
1024,0.9998935461044312,True
1200,0.9963493347167969,True
1013,0.9999853372573853,True
73,0.3740476369857788,False
214,0.8545034527778625,True
468,0.34277087450027466,False
1056,0.9998898506164551,True
72,0.4578522741794586,False
642,0.6109773516654968,False
522,0.2746245265007019,False
92,0.3015211522579193,False
1474,0.9993429780006409,True
331,0.6757240295410156,False
672,0.5463736653327942,False
763,0.999790370464325,True
191,0.6558552980422974,False
900,0.9999604225158691,True
1191,0.9471176862716675,True
1186,0.661762535572052,False
1101,0.9997910857200623,True
576,0.4215957224369049,False
1215,0.9987897276878357,True
746,0.34208303689956665,False
1145,0.9963877201080322,True
524,0.869016170501709,True
1155,0.9965974688529968,True
861,0.9998688697814941,True
1417,0.9997748732566833,True
1102,0.9998182654380798,True
383,0.43452897667884827,False
203,0.48737087845802307,False
183,0.3764355480670929,False
103,0.516834020614624,False
1030,0.9999947547912598,True
767,0.9952763319015503,True
161,0.9611790180206299,True
1437,0.9992357492446899,True
847,0.9999810457229614,True
548,0.31766149401664734,False
129,0.8415611982345581,True
158,0.26719361543655396,False
769,0.9999957084655762,True
1006,0.9995177984237671,True
1312,0.6746891140937805,False
595,0.29653799533843994,False
238,0.40791353583335876,False
41,0.5303569436073303,False
163,0.3267524838447571,False
197,0.30180975794792175,False
217,0.5427538156509399,False
126,0.3938097655773163,False
154,0.4195080101490021,False
734,0.43747204542160034,False
337,0.5713161826133728,False
34,0.3646391034126282,False
1161,0.9997163414955139,True
1434,0.9959638118743896,True
498,0.5318816900253296,False
427,0.38409897685050964,False
820,0.9994382262229919,True
1117,0.9998470544815063,True
313,0.32718127965927124,False
303,0.7160340547561646,False
740,0.858655571937561,True
1076,0.9999617338180542,True
149,0.4309408366680145,False
1380,0.9019010663032532,True
431,0.3352679908275604,False
347,0.389868825674057,False
377,0.3183463215827942,False
1458,0.9905731081962585,True
1436,0.9988616704940796,True
1028,0.9994375109672546,True
208,0.45900338888168335,False
967,0.9999762773513794,True
1057,0.9988799691200256,True
1499,0.9641941785812378,True
271,0.2759278416633606,False
791,0.9900556802749634,True
122,0.23740115761756897,False
10,0.3581385612487793,False
881,0.9974722266197205,True
884,0.9992052912712097,True
1304,0.9959977865219116,True
1011,0.9999933242797852,True
333,0.3535766005516052,False
505,0.625377357006073,False
428,0.3053995370864868,False
1190,0.7166380882263184,False
873,0.9999004602432251,True
83,0.7678994536399841,False
546,0.6372523903846741,False
778,0.997973620891571,True
1,0.39108771085739136,False
581,0.4169270396232605,False
493,0.6551125645637512,False
599,0.39104169607162476,False
1334,0.9991769194602966,True
49,0.2557392120361328,False
502,0.5524013638496399,False
8,0.26377102732658386,False
483,0.27592238783836365,False
327,0.537566602230072,False
450,0.47318679094314575,False
982,0.9999972581863403,True
466,0.35917994379997253,False
236,0.338150292634964,False
730,0.8488579988479614,True
527,0.6020519733428955,False
1360,0.9997953772544861,True
1064,0.9988893866539001,True
623,0.27727699279785156,False
1169,0.9997528195381165,True
1103,0.9992491602897644,True
276,0.5523709654808044,False
716,0.4991905689239502,False
547,0.45530617237091064,False
640,0.6639704704284668,False
701,0.4262123703956604,False
336,0.4465137720108032,False
1327,0.9999597072601318,True
260,0.2693590521812439,False
1333,0.9949365854263306,True
467,0.30716121196746826,False
1410,0.9999265670776367,True
434,0.38303515315055847,False
138,0.30921679735183716,False
94,0.3110342025756836,False
1472,0.7673068046569824,False
1471,0.9996615648269653,True
1308,0.6904494166374207,False
924,0.999782145023346,True
62,0.4897187650203705,False
1329,0.9999855756759644,True
597,0.6523411870002747,False
479,0.5398202538490295,False
1081,0.9995583891868591,True
628,0.28925803303718567,False
486,0.30576130747795105,False
