uid,DV TCE summary report,Full DV report,DV mini-report
167526485-1-S6-6,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018349182737-s0006-s0006-0000000167526485-01-00415_dvs.pdf,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018349182737-s0006-s0006-0000000167526485-00415_dvr.pdf,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018349182737-s0006-s0006-0000000167526485-00415_dvm.pdf
167526485-1-S6-6,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018349182739-s0006-s0006-0000000167526485-01-00144_dvs.pdf,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018349182739-s0006-s0006-0000000167526485-00144_dvr.pdf,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019051094808-s0006-s0006-0000000167526485-00144_dvm.pdf
